"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","friend","feel","watched","dinner","finally","played","time","dog","day","job"
"2","talked","moment","enjoyed","favorite","started","found","family","morning","birthday","received"
"3","car","event","night","ate","finished","game","visit","walk","surprise","money"
"4","school","life","girlfriend","lunch","weeks","bought","trip","cat","brother","recently"
"5","met","people","movie","food","completed","won","weekend","hours","mom","managed"
"6","fun","makes","nice","eat","book","video","spend","home","sister","graduation"
"7","girl","love","love","free","ive","purchased","planned","sleep","celebrated","pay"
"8","couple","share","boyfriend","delicious","class","buy","spent","run","phone","promotion"
"9","meet","person","husband","restaurant","project","shopping","moved","park","gift","company"
"10","havent","dont","wife","cooked","hard","store","live","nice","mother","card"
"11","laugh","happened","relax","home","read","team","home","cleaned","parents","waiting"
"12","song","experience","date","drink","college","online","vacation","weather","party","expected"
"13","drive","special","amazing","coffee","exam","money","house","woke","house","boss"
"14","coworker","world","beautiful","pizza","passed","tickets","decided","rain","excited","paid"
"15","listening","happiness","pretty","meal","successfully","saved","summer","taking","dad","called"
"16","hours","remember","season","wife","lost","dollars","happiness","bike","called","offer"
"17","attended","proud","funny","brought","goal","sale","apartment","ride","office","mail"
"18","mine","change","afternoon","breakfast","gym","computer","city","didnt","baby","accepted"
"19","close","wonderful","episode","ice","learned","win","beach","puppy","smile","helped"
"20","hadnt","bad","planted","cream","results","items","town","bed","told","interview"
